Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity,Avg_F1
Image,Edema,dp0.2_wd0.01_lr5e-05_bs32,0.2,0.01,5e-05,32,20,,0.7704011065006916,0.8954983922829582,0.8282527881040892,0.922267470656216,0.8959133040351566,0.8954983922829582,0.7970660146699267,0.8510856029519209
Image,Effusion,dp0.2_wd0.01_lr5e-05_bs32,0.2,0.01,5e-05,32,20,,0.8249708284714119,0.9290407358738502,0.8739184177997528,0.93262488896286,0.9330198089593972,0.9290407358738502,0.7790868924889544,0.8510856029519209
Text,Edema,dp0.1_wd0.01_lr1e-05_bs32,0.1,0.01,1e-05,32,20,0.936,0.9431072210065645,0.9189765458422174,0.9308855291576673,0.9813282256995892,0.9731450919360658,0.9189765458422174,0.9510357815442562,0.939401097912167
Text,Effusion,dp0.1_wd0.01_lr1e-05_bs32,0.1,0.01,1e-05,32,20,0.94,0.9479166666666666,0.9479166666666666,0.9479166666666666,0.9808782101677148,0.9835117638313473,0.9479166666666666,0.9292452830188679,0.939401097912167
"Fusion (Concat, Full)",Edema,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9458333333333333,0.9492946915627328,0.9409586553353406,0.9443382836844567,0.9836437393375734,0.9803814180112004,0.905144694533762,0.9767726161369193,0.9547399479424463
"Fusion (Concat, Full)",Effusion,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9652777777777778,0.9654960571629014,0.9648474315827364,0.9651416122004358,0.9855879114180047,0.9822927836746478,0.9724047306176085,0.9572901325478645,0.9547399479424463
"Fusion (Concat, Half)",Edema,VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9472222222222222,0.9454485679172766,0.9473816618055173,0.9463462081516112,0.9814070865336991,0.9783162261152374,0.9485530546623794,0.9462102689486552,0.9529552391520584
"Fusion (Concat, Half)",Effusion,VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9597222222222223,0.9600116301608839,0.9592105263157895,0.9595642701525054,0.9852708978328174,0.9877000742546951,0.968421052631579,0.95,0.9529552391520584
"Fusion (XAttn, Full)",Edema,CA_VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9479166666666666,0.9470103165755339,0.9468372392864723,0.9469232958077758,0.983085558848733,0.9782695632409981,0.9389067524115756,0.9547677261613692,0.9532539968691167
"Fusion (XAttn, Full)",Effusion,CA_VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9597222222222223,0.9596612919150287,0.9595118429939677,0.9595846979304578,0.9874148231437203,0.9845170745485249,0.9632063074901446,0.9558173784977909,0.9532539968691167
"Fusion (XAttn, Half)",Edema,CA_VD0.1_TD0.1_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9333333333333333,0.9326923835287994,0.9313044913875108,0.9319679682517186,0.9758331433423219,0.9751551970740571,0.9163987138263665,0.9462102689486552,0.9415653321517276
"Fusion (XAttn, Half)",Effusion,CA_VD0.1_TD0.1_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9513888888888888,0.9520849028029108,0.9505417956656347,0.9511626960517365,0.9822600619195045,0.9835238270645863,0.9657894736842105,0.9352941176470588,0.9415653321517276
