Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity
Image,edema,dp0.1_wd0_lr1e-05_bs16,0.1,0.0,1e-05,16,20,,0.8503649635036497,0.7491961414790996,0.7965811965811965,0.9110881374853576,0.8917649545507675,0.7491961414790996,0.8997555012224939
Image,effusion,dp0.1_wd0_lr1e-05_bs16,0.1,0.0,1e-05,16,20,,0.8381995133819952,0.9053876478318003,0.8704990524320909,0.9324100720120607,0.9384489346758536,0.9053876478318003,0.8041237113402062
Image,edema,dp0.1_wd0_lr1e-05_bs32,0.1,0.0,1e-05,32,20,,0.8015384615384615,0.837620578778135,0.8191823899371069,0.9127292667395185,0.8874252686295385,0.837620578778135,0.8422982885085575
Image,effusion,dp0.1_wd0_lr1e-05_bs32,0.1,0.0,1e-05,32,20,,0.8531746031746031,0.8475689881734559,0.8503625576796309,0.9269912660459553,0.9279207322708914,0.8475689881734559,0.8365243004418262
Image,edema,dp0.1_wd0_lr1e-05_bs64,0.1,0.0,1e-05,64,20,,0.7772861356932154,0.8472668810289389,0.8107692307692308,0.9126280473903097,0.8946176313447247,0.8472668810289389,0.815403422982885
Image,effusion,dp0.1_wd0_lr1e-05_bs64,0.1,0.0,1e-05,64,20,,0.8381995133819952,0.9053876478318003,0.8704990524320909,0.9287156075158837,0.9299832572618092,0.9053876478318003,0.8041237113402062
Image,edema,dp0.1_wd0_lr5e-05_bs16,0.1,0.0,5e-05,16,20,,0.8108108108108109,0.7717041800643086,0.7907742998352554,0.9024894063632576,0.8701143291850439,0.7717041800643086,0.863080684596577
Image,effusion,dp0.1_wd0_lr5e-05_bs16,0.1,0.0,5e-05,16,20,,0.8536269430051814,0.8659658344283837,0.8597521200260926,0.920850597713651,0.9177657312421342,0.8659658344283837,0.833578792341679
Image,edema,dp0.1_wd0_lr5e-05_bs32,0.1,0.0,5e-05,32,20,,0.8128,0.8167202572347267,0.8147554129911788,0.9109348343933521,0.886213888704434,0.8167202572347267,0.8569682151589242
Image,effusion,dp0.1_wd0_lr5e-05_bs32,0.1,0.0,5e-05,32,20,,0.8878923766816144,0.7805519053876478,0.8307692307692308,0.9286033608208717,0.9286035233797112,0.7805519053876478,0.8895434462444771
Image,edema,dp0.1_wd0_lr5e-05_bs64,0.1,0.0,5e-05,64,20,,0.8648148148148148,0.7508038585209004,0.8037865748709122,0.9172006069230105,0.8968319348600273,0.7508038585209004,0.910757946210269
Image,effusion,dp0.1_wd0_lr5e-05_bs64,0.1,0.0,5e-05,64,20,,0.8901251738525731,0.8409986859395532,0.8648648648648649,0.9369947689169548,0.9415065567029717,0.8409986859395532,0.8836524300441826
Image,edema,dp0.1_wd0_lr0.0002_bs16,0.1,0.0,0.0002,16,20,,0.8061749571183533,0.7556270096463023,0.7800829875518672,0.8991973207336537,0.8699331344487105,0.7556270096463023,0.8618581907090465
Image,effusion,dp0.1_wd0_lr0.0002_bs16,0.1,0.0,0.0002,16,20,,0.856508875739645,0.7608409986859396,0.8058455114822547,0.9055869824798392,0.9167555470072406,0.7608409986859396,0.8571428571428571
Image,edema,dp0.1_wd0_lr0.0002_bs32,0.1,0.0,0.0002,32,20,,0.7812995245641838,0.792604501607717,0.7869114126097366,0.8949716585822216,0.8567741098371972,0.792604501607717,0.8312958435207825
Image,effusion,dp0.1_wd0_lr0.0002_bs32,0.1,0.0,0.0002,32,20,,0.8703448275862069,0.8291721419185283,0.8492597577388964,0.9227162151962672,0.9302622284749746,0.8291721419185283,0.8615611192930781
Image,edema,dp0.1_wd0_lr0.0002_bs64,0.1,0.0,0.0002,64,20,,0.7918622848200313,0.8135048231511254,0.80253766851705,0.9062728480569815,0.8715897253768915,0.8135048231511254,0.8374083129584352
Image,effusion,dp0.1_wd0_lr0.0002_bs64,0.1,0.0,0.0002,64,20,,0.8362068965517241,0.8922470433639947,0.863318499682136,0.9253056303329276,0.9285128916444114,0.8922470433639947,0.8041237113402062
Image,edema,dp0.1_wd0.01_lr1e-05_bs16,0.1,0.01,1e-05,16,20,,0.8175895765472313,0.8070739549839229,0.8122977346278317,0.9137709415954528,0.8874056507521622,0.8070739549839229,0.863080684596577
Image,effusion,dp0.1_wd0.01_lr1e-05_bs16,0.1,0.01,1e-05,16,20,,0.829683698296837,0.8961892247043364,0.8616550852811118,0.9285278845949153,0.9333265486902933,0.8961892247043364,0.7938144329896907
